q,No. of optimum,Total,Optimality (%),Max. dev. (%)
0.1,27440,32000,85.75,3.9159
0.2,27438,32000,85.74,3.9159
0.3,27413,32000,85.67,3.9159
0.4,27332,32000,85.41,2.7857
0.5,27218,32000,85.06,2.7857
0.6,27101,32000,84.69,2.7857
0.7,26969,32000,84.28,2.7857
0.8,26902,32000,84.07,3.3081
0.9,26873,32000,83.98,4.2286
1,26917,32000,84.12,2.9121
1.1,26971,32000,84.28,3.4261
1.2,27063,32000,84.57,3.4261
1.3,27130,32000,84.78,3.4261
1.4,27177,32000,84.93,3.4261
1.5,27201,32000,85,3.4261
1.6,27222,32000,85.07,3.3099
1.7,27279,32000,85.25,3.3099
1.8,27306,32000,85.33,4.0268
1.9,27309,32000,85.34,4.1146
2,27325,32000,85.39,6.3052
2.1,27319,32000,85.37,6.3052
2.2,27305,32000,85.33,6.3052
2.3,27297,32000,85.3,6.3052
2.4,27291,32000,85.28,6.4907
2.5,27290,32000,85.28,6.4907
2.6,27276,32000,85.24,6.4907
2.7,27295,32000,85.3,6.4907
2.8,27287,32000,85.27,6.4907
2.9,27293,32000,85.29,6.4907
3,27291,32000,85.28,6.4907
