case_id,major_A,major_Ch,major_Cb,K_star,T_star,F_star,G_star,warning_negative_demand
1601,5.0,0.71,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.063800,0.021034,2361.1446,None
1602,5.0,0.7,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.047795,0.014291,2925.8091,None
1603,5.0,0.85,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.029628,0.021324,3735.6599,None
1604,5.0,0.76,0.08,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.032044,0.023161,3982.6613,None
1605,5.0,0.72,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.027272,0.019064,5060.8431,None
1606,5.0,0.68,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.035238,0.029806,3143.7699,None
1607,5.0,0.73,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.022008,0.029814,4579.2459,None
1608,5.0,0.46,0.05,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.028176,0.021731,3584.5874,None
1609,5.0,0.55,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.027513,0.015140,4364.5589,None
1610,5.0,0.69,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.036919,0.019049,2894.9864,None
1611,5.0,0.5,0.05,"[1.0, 1.0, 1.0, 1.0, 2.0]",0.046050,0.013625,2710.1049,None
1612,5.0,0.7,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.054519,0.020150,2571.2360,None
1613,5.0,0.54,0.05,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.027403,0.017396,3825.1933,None
1614,5.0,0.67,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.026463,0.020254,4949.4884,None
1615,5.0,0.85,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.024399,0.023207,5472.4078,None
1616,5.0,0.71,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.027315,0.024181,3303.6232,None
1617,5.0,0.95,0.1,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.031723,0.016275,4234.1987,None
1618,5.0,0.64,0.06,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.043346,0.015707,3133.3899,None
1619,5.0,0.75,0.08,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.059696,0.015314,2578.3825,None
1620,5.0,0.41,0.04,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.070606,0.018787,1812.0228,None
1621,5.0,0.67,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.025684,0.029627,3855.3152,None
1622,5.0,0.87,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.025522,0.017398,4441.6197,None
1623,5.0,0.71,0.07,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.028132,0.020271,4577.6778,None
1624,5.0,0.66,0.07,"[1.0, 1.0, 1.0, 1.0, 2.0]",0.031487,0.017427,4042.6567,None
1625,5.0,0.8,0.08,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.035895,0.025241,4247.9077,None
1626,5.0,0.9,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.041658,0.019509,3814.4305,None
1627,5.0,0.9,0.09,"[2.0, 1.0, 1.0, 1.0, 1.0]",0.037202,0.014601,3622.0945,None
1628,5.0,0.94,0.09,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.032285,0.016246,3569.4972,None
