q_threshold,num_best_found,pct_best_found (%),max_dev_from_best_heuristic (%),avg_dev_from_best_heuristic (%)
0.1,62,96.88,0.6116,0.011195
0.2,62,96.88,0.6116,0.011195
0.3,62,96.88,0.6116,0.011195
0.4,61,95.31,1.0743,0.027981
0.5,61,95.31,1.0743,0.027981
0.6,61,95.31,1.0743,0.027981
0.7,61,95.31,1.0743,0.027981
0.8,61,95.31,1.0743,0.027981
0.9,62,96.88,0.6116,0.011195
1.0,62,96.88,0.6116,0.011195
1.1,62,96.88,0.6116,0.011195
1.2,62,96.88,0.6116,0.011195
1.3,62,96.88,0.6116,0.011195
1.4,63,98.44,0.6116,0.009556
1.5,63,98.44,0.6116,0.009556
1.6,63,98.44,0.6116,0.009556
1.7,64,100.00,0.0000,0.000000
1.8,64,100.00,0.0000,0.000000
1.9,62,96.88,0.6116,0.011195
2.0,62,96.88,0.6116,0.011195
2.1,62,96.88,0.6116,0.011195
2.2,62,96.88,0.6116,0.011195
2.3,61,95.31,0.6116,0.012899
2.4,61,95.31,0.6116,0.012899
2.5,61,95.31,0.6116,0.012899
2.6,61,95.31,0.6116,0.012899
2.7,61,95.31,0.6116,0.012899
2.8,61,95.31,0.6116,0.012899
2.9,61,95.31,0.6116,0.012899
3.0,61,95.31,0.6116,0.012899
