q_threshold,num_best_found,pct_best_found (%),max_dev_from_best_heuristic (%),avg_dev_from_best_heuristic (%)
0.1,60,93.75,0.2333,0.007011
0.2,60,93.75,0.2333,0.007011
0.3,60,93.75,0.2333,0.007011
0.4,60,93.75,0.2333,0.007011
0.5,59,92.19,0.2333,0.009544
0.6,57,89.06,1.5032,0.039478
0.7,57,89.06,1.5032,0.039478
0.8,57,89.06,1.1586,0.034094
0.9,58,90.62,0.6185,0.019208
1.0,58,90.62,0.6185,0.019208
1.1,59,92.19,0.6185,0.018423
1.2,59,92.19,0.6185,0.019202
1.3,61,95.31,0.6185,0.016620
1.4,60,93.75,0.6185,0.016670
1.5,60,93.75,0.6185,0.016670
1.6,62,96.88,0.2119,0.003360
1.7,61,95.31,0.2633,0.007475
1.8,60,93.75,0.2633,0.008332
1.9,60,93.75,0.2633,0.008332
2.0,60,93.75,0.2633,0.008332
2.1,60,93.75,0.2633,0.008332
2.2,60,93.75,0.2633,0.008332
2.3,60,93.75,0.2633,0.008332
2.4,60,93.75,0.2633,0.008332
2.5,60,93.75,0.2633,0.008332
2.6,60,93.75,0.2633,0.008332
2.7,61,95.31,0.2633,0.005021
2.8,61,95.31,0.4565,0.011296
2.9,61,95.31,0.4565,0.011296
3.0,61,95.31,0.4565,0.011296
